City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
279,Hofn,IS,64.25,-15.21,54.59,65,74,7.36,broken clouds,0.0,0.0
280,Thinadhoo,MV,0.53,72.93,84.65,69,76,5.99,broken clouds,0.0,0.0
281,Garowe,SO,8.41,48.48,85.86,39,95,22.57,overcast clouds,0.0,0.0
282,Kinshasa,CD,-4.32,15.32,78.8,69,0,5.82,clear sky,0.0,0.0
283,Pskov,RU,57.81,28.35,55.4,76,49,4.47,scattered clouds,0.0,0.0
284,Mumford,GH,5.26,-0.76,75.56,90,93,8.66,overcast clouds,0.0,0.0
285,Maniitsoq,GL,65.42,-52.9,42.91,97,100,22.06,heavy intensity rain,4.05,0.0
286,Inuvik,CA,68.35,-133.72,42.8,75,90,11.41,overcast clouds,0.0,0.0
287,Hwange,ZW,-18.37,26.5,58.5,66,0,1.63,clear sky,0.0,0.0
288,Husavik,IS,66.04,-17.34,48.2,76,75,29.97,broken clouds,0.0,0.0
289,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,73,0,23.04,clear sky,0.0,0.0
290,Menongue,AO,-14.66,17.69,57.51,35,0,2.24,clear sky,0.0,0.0
291,Puerto Escondido,MX,15.85,-97.07,86.0,62,75,9.17,broken clouds,0.0,0.0
292,Baykalsk,RU,51.51,104.15,57.0,69,100,8.95,overcast clouds,0.0,0.0
293,Ambulu,ID,-8.35,113.61,72.09,87,70,3.13,broken clouds,0.0,0.0
294,Weymouth,US,42.22,-70.94,91.0,58,39,9.17,light rain,0.51,0.0
295,Vila Velha,BR,-20.33,-40.29,78.01,83,0,10.29,clear sky,0.0,0.0
296,Dubbo,AU,-32.25,148.62,44.6,93,75,8.05,broken clouds,0.0,0.0
297,Ardakan,IR,32.31,54.02,89.6,18,0,6.93,clear sky,0.0,0.0
